Ticker,Year,Risk_Label,3Y_Stock_CAGR,Ann_Volatility,Promoter_Hold,Promoter_Pledge,Inst_Hold_Change,Board_Indep_Pct,Director_Tenure,CEO_Duality,Auditor_Quality,Auditor_Quit,Voting_Dissent,Whistleblower_Cnt,Profit_Growth,Governance_Ratio,Leverage_Risk,Liquidity,CEO_Pay_Gap,Div_Yield,Asset_Quality,Loan_Risk,Environ_Risk,Capex_Trap
ICICI Bank,2020,0.0,0.05,0.621,0.0,0.0,0.02,0.75,4.5,0.0,1.0,0.0,0.03,0.0,1.35,0.008,0.161,0.451,140.0,0.0,0.055,0.75,0.0,0.0
ICICI Bank,2021,0.0,0.15,0.384,0.0,0.0,0.03,0.75,4.5,0.0,1.0,0.0,0.03,0.0,1.04,0.014,0.191,0.463,140.0,0.003,0.049,0.77,0.0,0.0
ICICI Bank,2022,0.0,0.28,0.302,0.0,0.0,0.01,0.75,4.5,0.0,1.0,0.0,0.03,0.0,0.44,0.018,0.192,0.487,140.0,0.007,0.036,0.79,0.0,0.0
ICICI Bank,2023,0.0,0.22,0.248,0.0,0.0,-0.01,0.75,4.5,0.0,1.0,0.0,0.03,0.0,0.36,0.021,0.183,0.458,140.0,0.009,0.028,0.82,0.0,0.0
ICICI Bank,2024,0.0,0.25,0.215,0.0,0.0,0.01,0.75,4.5,0.0,1.0,0.0,0.03,0.0,0.28,0.024,0.163,0.422,140.0,0.008,0.021,0.8,0.0,0.0
Kotak Mahindra Bank,2020,0.0,0.14,0.48200000000000004,0.26,0.0,0.01,0.7,6.0,0.0,1.0,0.0,0.04,0.0,0.22,0.018,0.179,0.562,150.0,0.0,0.0225,0.69,0.0,0.0
Kotak Mahindra Bank,2021,0.0,0.12,0.285,0.26,0.0,0.01,0.7,6.0,0.0,1.0,0.0,0.04,0.0,0.17,0.019,0.223,0.604,150.0,0.001,0.0325,0.64,0.0,0.0
Kotak Mahindra Bank,2022,0.0,0.1,0.24100000000000002,0.26,0.0,-0.01,0.7,6.0,0.0,1.0,0.0,0.04,0.0,0.21,0.021,0.227,0.607,150.0,0.001,0.0234,0.73,0.0,0.0
Kotak Mahindra Bank,2023,0.0,0.08,0.22399999999999998,0.26,0.0,0.02,0.7,6.0,0.0,1.0,0.0,0.04,0.0,0.28,0.024,0.218,0.528,150.0,0.001,0.0178,0.79,0.0,0.0
Kotak Mahindra Bank,2024,0.0,0.06,0.20800000000000002,0.26,0.0,0.01,0.7,6.0,0.0,1.0,0.0,0.04,0.0,0.26,0.024,0.205,0.455,150.0,0.001,0.0139,0.81,0.0,0.0
Federal Reserve Bank,2020,0.0,-0.035,0.421,0.0,0.0,0.0,0.65,5.5,0.0,1.0,0.0,0.0001,0.0,0.24,0.008,0.1435,0.305,55.0,0.0,0.0284,0.53,0.0,0.0
Federal Reserve Bank,2021,0.0,-0.035,0.362,0.0,0.0,0.025,0.7,4.2,0.0,1.0,0.0,0.0001,0.0,0.03,0.0085,0.1462,0.34,60.0,0.009,0.0341,0.65,0.0,0.0
